who_said,feel,expression
孫正義,tired,狂ったほどの努力がないと翼なんて生えてこない
本田圭佑,tired,努力が人よりも続けられる人は必ず成功する。そして努力の方法が分かってる人は大きく成功できる　
山崎育三郎,anxious,怖いところにしか成長はない
イチロー,tired,「できなくてもしょうがない」は終わってから思うことであって途中にそれを思ったら 絶対に達成できません　
織田信長,other,必死に生きてこそ、その生涯は光を放つ
伊藤一刀斎,other,剣に生きると決めたなら、正しいかどうかなどどうだっていい。感じるべきは、楽しいかどうかだ
ユング,depress,幸福な人生にさえも、ある程度の暗さはあるものです。そして、「幸福」という言葉は、悲しみによってバランスが取られなければ、その意味を失ってしまうでしょう　
アイリス・マードック,anxious,何もかもが変わっていく瞬間があります。今まで嘆いていたことが突然どうでもいいことに思えてくるのです　
ガンジー,depress,毎晩眠りにつくたびに、私は死ぬ。そして翌朝目を覚ます時、生まれ変わる　
松下幸之助,tired,苦しかったらやめればいい、無理をしてはならない。無理をしないといけないのはレベルが低い証拠。真剣に生きる人ほど無理はしない。無理をしないというのは消極的な意味ではない。願いはするが無理はしない。努力はしても天命に従う。これが疲れないコツである　
孫正義,depress,どうしようもなく哀しい時は泣くしかないですよね。そんな時は泣きましょう。思いっきり泣いて泣き濡れましょう。泣き疲れたら新しい人生を生き抜きましょう　
アインシュタイン,depress,成功する人間になろうとせず、むしろ価値ある人間になろうとしなさい　
エレン・イェーガー,other,勝てなきゃ死ぬ。勝てば生きる。戦わなければ勝てない
明石家さんま,depress,自分がもっとできると思うから落ち込む。何があってもこんなもんやと思っているから落ち込まない
フランシス・ベーコン,tired,人生は道路のようなものだ。一番の近道は、たいてい一番悪い道だ　
イモトアヤコ,tired,大事なのは自分がもうダメかもって思ったそこからがスタート。そこからどれだけ頑張るかで自分の限界が決まる　
のび太,depress,いちばんいけないのは自分なんかダメだと思いこむことだよ　
孔子,depress,最大の名誉は、決して倒れないことではない。倒れるたびに起き上がることである
松岡修造,tired,君が次に叩く一回で、壁は打ち破れるかもしれないんだ！
所ジョージ,depress,腐る人には誰も見向きもしないよ
蜷川実花,anxious,一歩踏み出す勇気が持てるくらい、普段努力をしておく
紫舟,other,ぬるま湯から出る決意をした瞬間、人間の成長は始まる。自分よりちょっと上にある不快ゾーンに手を伸ばそう
室伏広治,other,技を極めるのは、紙を毎日重ねるようなもの。しかも、紙が本物でなければならない。瞬間のひらめきや1日や2日でできるものではない
ヘンリー・キッシンジャー,anxious,自分の全てを受け入れるのだ。何もかもを。自分は自分。そこに始まり、そこに終わる。自分を責めたり悔いたりする必要など、どこにあるのだ
マーク・トウェイン,anxious,"20年後に失望するのは、やったことよりもやらなかったことだ。綱を解き、船を出し、帆で風を捕らえよ。探検し、夢を見て、発見するのだ。

"
落合監督,anxious,前向きにもがき苦しむ経験は、すぐに結果に結びつかなくても必ず自分の生きる力になっていく
関根勤,tired,自分を少し抑えて、肩の力を抜けば、仕事は長続きする
長谷部誠,anxious,自分と向き合う方法は、主に２つある。ひとつは孤独な時間を作り、ひとりでじっくりと考えを深めていくこと。そしてもうひとつは、尊敬できる人や仲間に会い、話をすることで自分の立ち位置を客観的に見ること
野村監督,tired,伸び悩んだり、才能の限界にぶつかったりしたとき、「もうダメだ」と諦めるか、それとも「どうすればこれを突破できるか」と考えるか。一流と二流は、まさにそこで分かれる
江原啓之,anxious,結果が出るのには時間がかかることもあります。待つうちに焦りや不安が襲い自分を見失いかけることもあるでしょう。自分の行動にきちんと根拠がある人はどんなに待たされようと自分を信じて待てるのです
カール・マルクス,other,人間にとって最大の幸福は『自分を生かせる仕事に巡り合うこと』
小池一夫,anxious,やりたいことがあるのに出来ない悩みよりも、やりたいことすら自分で分からない悩みの方がしんどい
ゴッホ,other,このまま行けと、僕の中の僕が命じるんだ
ヘレン・ケラー,depress,今日の失敗ではなく、明日訪れるかもしれない成功について考えるのです
スティーブ・ジョブス,other,成功を収めた時、用心しなくてはいけないのは傲慢
ルイス・ゴードン,anxious,勇気は筋肉と同じで、使うことによって鍛えられます
ジェームス・ステファンス,anxious,恐怖に打ち勝つのは、勇気よりも好奇心である
スティーブ・ジョブス,anxious,一番大事なことは、自分の心と直感に従う勇気を持つことだ
IKKO,anxious,自分の弱さに向き合ってこそ努力は実る
ポルコロッソ（紅の豚）,other,徹夜はするな、睡眠不足はいい仕事の敵だ。それに美容にも良くねえ
ヘレンケラー,tired,あなたは困難な仕事を自分に課しましたが、諦めずに頑張れば、うまく行くのです。そして、成功への障害を克服することが喜びとなるでしょう
ヘレンケラー,other,光の中を一人で歩むよりも、闇の中を友人と共に歩むほうが良い
ヘレンケラー,other,世界で最も哀れな人とは、目は見えてもビジョンのない人です
ヘレンケラー,other,一つの幸せのドアが閉じる時、もう一つのドアが開く。しかし、よく私達は閉じたドアばかりに目を奪われ、開いたドアに気付かない
ヘレンケラー,other,物事を成し遂げさせるのは希望と自信です
明石家さんま,anxious,お笑い芸人は緊張しない奴は売れないねん、見事に。みんな緊張しぃやねん。怖いから頑張んねんけど
明石家さんま,depress,満点なんか取らんでええねん。満天は星空だけで十分や
ネルソン・マンデラ,anxious,何事も成功するまでは不可能に思えるものである
マーク・ザッカーバーグ,depress,完璧であることより、まず終わらせることが重要だ
マーク・ザッカーバーグ,anxious,最大のリスクは、リスクを取らないことだ
アンソニーロビンズ,anxious,知っているだけでは駄目なのだ。あなたは行動を起こさなければならない
田臥勇太,anxious,気持ちで負けるなんて話にならない
DJあおい,depress,成功することを目指すより後悔しないことを目指す
松下幸之助,anxious,焦れば焦るほど失敗する
黒子テツヤ（黒子のバスケ）,depress,火神君一度諦めませんか？ 試合を諦めるのでわなく火神君だけのプレーをです。
赤司征十郎（黒子のバスケ）,other,長所はあってもキミ自身は弱い 生かすのは自分のためではなくチームのためだ
孔子,other,天子から庶民に至るまで人の第一の目的とすべきことは生活を正すことにある
